Upload_Record_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_capacity,Konteinerio_area,Konteinerio_street,Konteinerio_namas,Driver,Automobilis,Pickup_date__time,Weight_kg_,lift_point_latitude,Lift_point_longitude,Data_submission_date__time,Zona,date,season,people_on_street_nearest_avg3
1187163,13-L-309498,E200001C361802021110B5F9,0.77,Vilniaus m.,Savanorių pr.,5,Ekonovus,,2:49:00 AM,0.007,54.6787,25.2575,3:02:00 AM,Vilniaus m. BA5,3/12/2021,Spring,377
1193506,13-L-310817,0512021373FEDCBA00036416,0.66,Vilniaus m.,Blindžių g.,9A,Ekonovus,,1:41:00 PM,0.047,54.6973,25.2393,1:52:00 PM,Vilniaus m. BA5,5/18/2021,Autumn,255.3333333
1189355,13-L-307104,E200001D731302720860EE38,0.24,Vilniaus m.,Gedimino pr.,18,Ekonovus,,7:13:00 AM,0.0075,54.6869,25.279,7:52:00 AM,Vilniaus m. BA5,2/1/2020,Spring,92.66666667
1188954,13-L-306394,E200001D8105009725104294,0.24,Vilniaus m.,Gedimino pr.,18,Ekonovus,,7:13:00 AM,0.0075,54.6869,25.279,7:22:00 AM,Vilniaus m. BA5,4/28/2020,Spring,92.66666667
1188943,13-L-300311,E2000015130B01171060AD8E,0.24,Vilniaus m.,Gedimino pr.,34,Ekonovus,,6:47:00 AM,0.008,54.6874,25.274,7:22:00 AM,Vilniaus m. BA5,11/30/2019,Spring,217.3333333
1187350,13-L-303599,E20000175611017414608346,0.77,Vilniaus m.,J. Jasinskio g.,16,Ekonovus,,4:13:00 AM,0.02,54.6876,25.2601,4:22:00 AM,Vilniaus m. BA5,11/30/2019,Autumn,297
1187385,13-L-311199,0512021373FEDCBA00036634,0.66,Vilniaus m.,J. Jasinskio g.,16,Ekonovus,,4:19:00 AM,0.0445,54.688,25.2605,4:32:00 AM,Vilniaus m. BA5,7/5/2021,Winter,297
1187440,13-L-311602,E200471183B0602691A7010D,1.1,Vilniaus m.,Kalvarijų g.,9,Ekonovus,,4:08:00 AM,0.037,54.6934,25.2815,4:42:00 AM,Vilniaus m. BA5,7/18/2022,Winter,82
1192840,13-L-309597,E2801105200072833FFA0A9C,0.24,Vilniaus m.,Pušų g.,10,Ekonovus,,12:42:00 PM,0.015,54.6919,25.255,12:52:00 PM,Vilniaus m. BA5,9/14/2021,Autumn,567.3333333
1192839,13-L-309598,E2801105200072823FFA0A9C,0.24,Vilniaus m.,Pušų g.,10,Ekonovus,,12:42:00 PM,0.017,54.6919,25.255,12:52:00 PM,Vilniaus m. BA5,9/14/2021,Autumn,567.3333333
1192838,13-L-300943,E2000017060D01780230F7A4,0.24,Vilniaus m.,Pušų g.,10,Ekonovus,,12:42:00 PM,0.028,54.6919,25.255,12:52:00 PM,Vilniaus m. BA5,11/30/2019,Autumn,567.3333333
1192834,13-L-300944,E2000017060D01900230F7C2,0.24,Vilniaus m.,Pušų g.,14,Ekonovus,,12:39:00 PM,0.0315,54.6919,25.2542,12:52:00 PM,Vilniaus m. BA5,11/30/2019,Autumn,534
1194223,13-L-313364,E200470AA2106026238D0114,1.1,Vilnius,Ukmergės g.,126,Ekonovus,,3:12:00 PM,0.0065,54.702,25.2569,3:22:00 PM,Vilniaus m. BA5,10/4/2022,Autumn,1079.333333
1194388,13-L-313366,E2004708F410602608AD0112,1.1,Vilnius,Ukmergės g.,126,Ekonovus,,3:12:00 PM,0.0425,54.702,25.2569,3:52:00 PM,Vilniaus m. BA5,10/4/2022,Winter,1079.333333
1194224,13-L-313365,E200470AA2206026238E0112,1.1,Vilnius,Ukmergės g.,126,Ekonovus,,3:12:00 PM,0.0275,54.702,25.2569,3:22:00 PM,Vilniaus m. BA5,10/4/2022,Autumn,1079.333333
1190308,13-L-313881,E2004716F3506026E8A10110,1.1,Vilniaus m.,Kražių g.,5,Ekonovus,,8:42:00 AM,0.091,54.6907,25.2665,8:52:00 AM,Vilniaus m. BA5,9/8/2022,Winter,87.66666667
